id,grupo_tcc,titulo,autor,orientador,pesquisador,ano_defesa,curso_fonte
45,Pedagogia,UMA EXPERIÊNCIA DE CONTAÇÃO DE HISTÓRIAS NO ESTÁGIO CURRICULAR SUPERVISIONADO COM FOCO NA DIVERSIDADE,Edileía de Sousa Silva,Edlauva Oliveira dos Santos,Fabricio Batista da Silva,Não se aplica,Pedagogia
46,Pedagogia,JOGOS E BRINCADEIRAS NO PROCESSO DE APRENDIZAGEM NA PRÉESCOLA,Fabiana Valente de Mesquita,Prof. Dr. Sebastião Monteiro Oliveira,Fabricio Batista da Silva,Não informado,Pedagogia
114,Pedagogia,O ENSINO DA EDUCAÇÃO ESPECIAL NOS CURSOS DE LICENCIATURA DA UNIVERSIDADE FEDERAL DE RORAIMA,JAQUELINE VILAÇA VIDEIRA,Prof.ª Dr.ª Maria Edith Romano Siems-Marcondes,Laíne Pereira Fernandes,2019,Pedagogia
112,Pedagogia,PEDAGOGIA HOSPITALAR: CLASSE HOSPITALAR NAS UNIDADES PÚBLICAS DE SAÚDE DE ALTA COMPLEXIDADE EM UM MUNICÍPIO DA REGIÃO NORTE DO BRASIL,MICHELE DOS SANTOS CAVALCANTE,Prof.ª Dr.ª Maria Edith Romano Siems Marcondes,Laíne Pereira Fernandes,2019,Pedagogia
111,Pedagogia,EDUCAÇÃO DE JOVENS E ADULTOS NO BRASIL: PANORAMA SOBRE FUNCIONAMENTO E ORGANIZAÇÃO NO TRIÊNIO DE 2016-2018 E SUGESTÕES AO APRIMORAMENTO DO PROGRAMA,Leciane Borges Silva,Profº Msc. Dr. Sebastião Oliveira Monteiro,Laíne Pereira Fernandes,2019,Pedagogia
110,Pedagogia,"O TRABALHO DO PEDAGOGO HOSPITALAR: UMA EXPERIÊNCIA NO HOSPITAL DA CRIANÇA SANTO ANTONIO, EM BOA VISTA-RR",KEILA TEIXEIRA DE SOUZA,Prof. Dr. Pedro Augusto Hercks Menin,Laíne Pereira Fernandes,2019,Pedagogia
47,Pedagogia,O ESTÁGIO CURRICULAR COMO MOMENTO DE APRENDIZAGEM SOBRE A ATUAÇÃO DO PEDAGOGO EM CONTEXTO DE DIVERSIDADE,Ilzamar da Silva Magalhães,Profª Dr. Edlauva Oliveira dos Santos,Fabricio Batista da Silva,Não informado,Pedagogia
48,Pedagogia,"A CRIANÇA E O BRINCAR: CONTEXTOS, DESENVOLVIMENTO E APRENDIZAGEM",Jessica Cinaira F. da Silva,Não informado,Fabricio Batista da Silva,Não informado,Pedagogia
49,Pedagogia,O PERFIL DA COORDENAÇÃO PEDAGÓGICA E SUA ATUAÇÃO NO CONTEXTO ATUAL NA REDE MUNICIPAL ENSINO DE BOA VISTA,Kátia Valéria Fonseca de Souza,Não informado,Fabricio Batista da Silva,Não informado,Pedagogia
44,Pedagogia,RELATO DE EXPERIÊNCIA DE ALFABETIZAÇÃO E ENSINO DE MATEMÁTICA NO PROGRAMA RESIDÊNCIA PEDAGÓGICA,Rosélia Maria de Sousa Alexandre,Pedro Augusto Hercks Menin,Jelynne Ewellyn Felipe Pinto,2022,Pedagogia
34,Pedagogia,REFLEXÕES SOBRE AS EXPERIÊNCIAS NO ESTÁGIO CURRICULAR DO CURSO DE PEDAGOGIA NAS MODALIDADES PRESENCIAL E ON-LINE,Alcimara Eliane de Souza Silva,Edlauva Oliveira dos Santos,Karimy Manuelle da Silva Balbino,2022,Pedagogia
